iter	Passed	Remaining
0	4	436
1	8	414
2	12	399
3	15	367
4	19	366
5	23	363
6	27	358
7	30	355
8	35	359
9	40	363
10	44	360
11	48	356
12	52	352
13	56	346
14	59	339
15	63	335
16	68	333
17	72	329
18	76	327
19	80	322
20	84	317
21	88	313
22	92	309
23	97	308
24	101	305
25	105	300
26	109	296
27	114	293
28	126	308
29	131	306
30	135	301
31	140	297
32	143	291
33	147	286
34	151	281
35	155	275
36	159	270
37	162	265
38	166	260
39	170	256
40	178	256
41	180	248
42	183	243
43	187	238
44	191	233
45	195	229
46	200	225
47	204	221
48	208	216
49	212	212
50	217	208
51	222	204
52	226	200
53	241	205
54	245	201
55	251	197
56	256	193
57	259	188
58	265	184
59	268	179
60	272	174
61	277	169
62	281	165
63	285	160
64	290	156
65	295	152
66	301	148
67	306	144
68	313	140
69	318	136
70	323	132
71	328	127
72	333	123
73	338	118
74	347	115
75	358	113
76	363	108
77	367	103
78	373	99
79	379	94
80	383	89
81	386	84
82	391	80
83	396	75
84	400	70
85	404	65
86	410	61
87	415	56
88	427	52
89	432	48
90	436	43
91	442	38
92	452	34
93	460	29
94	473	24
95	478	19
96	482	14
97	486	9
98	490	4
99	495	0
