iter	Passed	Remaining
0	154	154427
1	158	79201
2	163	54367
3	169	42212
4	174	34764
5	178	29602
6	182	25912
7	186	23169
8	190	21027
9	195	19321
10	200	18002
11	205	16883
12	209	15881
13	213	15027
14	217	14296
15	222	13712
16	227	13145
17	231	12634
18	235	12157
19	240	11761
20	244	11413
21	249	11071
22	253	10762
23	257	10478
24	261	10213
25	266	9969
26	270	9758
27	274	9534
28	278	9325
29	282	9144
30	286	8968
31	291	8803
32	295	8657
33	299	8510
34	303	8380
35	308	8250
36	312	8132
37	316	8005
38	319	7883
39	323	7768
40	327	7667
41	332	7576
42	336	7485
43	340	7395
44	344	7308
45	348	7227
46	352	7142
47	356	7078
48	361	7007
49	364	6934
50	368	6862
51	372	6796
52	376	6732
53	381	6682
54	387	6650
55	391	6599
56	395	6549
57	399	6494
58	406	6477
59	412	6459
60	416	6418
61	421	6378
62	425	6333
63	430	6302
64	434	6256
65	439	6218
66	452	6302
67	459	6302
68	471	6361
69	479	6364
70	487	6379
71	493	6357
72	502	6384
73	512	6407
74	524	6468
75	532	6478
76	543	6511
77	547	6471
78	552	6436
79	557	6409
80	563	6390
81	568	6366
82	572	6321
83	577	6297
84	583	6282
85	588	6250
86	592	6222
87	597	6190
88	601	6158
89	607	6147
90	612	6121
91	617	6098
92	623	6077
93	627	6052
94	632	6025
95	638	6013
96	645	6006
97	650	5985
98	654	5959
99	666	5999
100	671	5976
101	675	5950
102	681	5933
103	686	5910
104	691	5894
105	695	5867
106	700	5843
107	704	5818
108	708	5794
109	712	5765
110	716	5739
111	720	5711
112	725	5698
113	730	5674
114	734	5653
115	738	5627
116	741	5597
117	745	5573
118	750	5555
119	754	5530
120	758	5510
121	762	5484
122	766	5463
123	770	5440
124	773	5417
125	779	5403
126	782	5381
127	787	5362
128	791	5343
129	795	5324
130	799	5301
131	804	5290
132	808	5273
133	813	5255
134	817	5237
135	821	5219
136	825	5202
137	830	5186
138	834	5168
139	838	5151
140	842	5134
141	845	5108
142	849	5091
143	853	5075
144	858	5060
